commonname,species,fishtype,smallfish_limit
American Shad,Alosa sapidissima,both,110
Barred Sand Bass,Paralabrax nebulifer,sport,
Barred Surfperch,Amphistichus argenteus,sport,
Bat Ray,Myliobatis californica,sport,
Bigscale Logperch,Percina macrolepida,small,
Black and Yellow Rockfish,Sebastes chrysomelas,sport,
Black Bullhead,Ameiurus melas,sport,
Black Crappie,Pomoxis nigromaculatus,both,110
Black Croaker,Cheilotrema saturnum,sport,
Black Perch,Embiotoca jacksoni,sport,
Black Rockfish,Sebastes melanops,sport,
Blue Catfish,Ictalurus furcatus,sport,
Blue Chub,Gila coerulea,small,
Blue Rockfish,Sebastes mystinus,sport,
Bluegill,Lepomis macrochirus,both,110
Brook Trout,Salvelinus fontinalis,both,105
Brown Bullhead,Ameiurus nebulosus,both,150
Brown Rockfish,Sebastes auriculatus,sport,
Brown Smooth-hound Shark,Mustelus henlei,sport,
Brown Trout,Salmo trutta,both,104
Cabezon,Scorpaenichthys marmoratus,sport,
California Corbina,Menticirrhus undulatus,sport,
California Halibut,Paralichthys californicus,sport,
California Killifish,Fundulus parvipinnis,small,
California Mussel,Mytilus californianus,notfish,
California Roach,Hesperoleucus symmetricus,sport,
California Sheephead,Semicossyphus pulcher,sport,
Channel Catfish,Ictalurus punctatus,both,150
China Rockfish,Sebastes nebulosus,sport,
Chinook Salmon,Oncorhynchus tshawytscha,sport,
Chub Mackerel,Scomber japonicus,sport,
Common Carp,Cyprinus carpio,both,110
Convict Cichlid,Amatitlania nigrofasciata,both,150
Copper Rockfish,Sebastes caurinus,sport,
Corbicula spp.,Corbicula,notfish,
Cortez Bonefish,Albula gilberti,sport,
Crappie,Pomoxis,sport,
Diamond Turbot,Hypsopsetta guttulata,sport,
Eagle Lake Trout,Oncorhynchus mykiss aquilarum,sport,
Flathead Catfish,Pylodictis olivaris,sport,
Goby,Gobiidae,small,
Golden Shiner,Notemigonus crysoleucas,small,
Golden Trout,Oncorhynchus aguabonita,sport,
Goldfish,Carassius auratus,sport,
Gopher Rockfish,Sebastes carnatus,sport,
Grass Carp,Ctenopharyngodon idella,sport,
