SumGroup,SumGroupDisplay,AnalyteName,SumFlag,ParamRequired,group1pcb40,AnalyteGroup,LastUpdateDate,CreateDate
Age,Age,Age,1,,,,,11/6/12
Aldrin,Aldrin,Aldrin,,,,,,
microcystin,Sum of Microcystin,Anatoxin-A,1,,,,,
CHLORDANE,Sum of Chlordane,"Chlordane, cis-",1,x,,organics            ,,
CHLORDANE,Sum of Chlordane,"Chlordane, trans-",1,x,,organics            ,,
microcystin,Sum of Microcystin,Cylindrospermopsin,1,,,,,
Dacthal,Dacthal,Dacthal,,,,,,
DDT,Sum of DDTs,"DDD(o,p')",1,,,organics            ,,
DDT,Sum of DDTs,"DDD(p,p')",1,x,,organics            ,,
DDT,Sum of DDTs,"DDE(o,p')",1,,,organics            ,,
DDT,Sum of DDTs,"DDE(p,p')",1,x,,organics            ,,
DDMU,DDMU,"DDMU(p,p')",,,,,,
DDT,Sum of DDTs,"DDT(o,p')",1,,,organics            ,,
DDT,Sum of DDTs,"DDT(p,p')",1,,,organics            ,,
microcystin,Sum of Microcystin,Desmethyl-LR,1,,,,,
microcystin,Sum of Microcystin,Desmethyl-RR,1,,,,,
DIELDRIN,Dieldrin,Dieldrin,1,,,organics            ,,
microcystin,Sum of Microcystin,Domoic acid,1,,,,,
Endosulfan I,Endosulfan I,Endosulfan I,,,,,,
Endrin,Endrin,Endrin,,,,,,
HCH,HCH,"HCH, alpha-",,,,,6/25/13,
HCH,HCH,"HCH, beta-",,,,,6/25/13,
HCH,HCH,"HCH, gamma-",,,,,6/25/13,
CHLORDANE,Sum of Chlordane,Heptachlor,,,,organics            ,,
CHLORDANE,Sum of Chlordane,Heptachlor Epoxide,,,,organics            ,8/7/14,
Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,,,,,,
DIOXIN,Sum of Dioxins,"HpCDD, 1,2,3,4,6,7,8-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HpCDF, 1,2,3,4,6,7,8-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HpCDF, 1,2,3,4,7,8,9-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HxCDD, 1,2,3,4,7,8-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HxCDD, 1,2,3,6,7,8-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HxCDD, 1,2,3,7,8,9-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HxCDF, 1,2,3,4,7,8-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HxCDF, 1,2,3,6,7,8-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HxCDF, 1,2,3,7,8,9-",1,,,organics            ,,
DIOXIN,Sum of Dioxins,"HxCDF, 2,3,4,6,7,8-",1,,,organics            ,,
LIPID,Lipid,Lipid,,,,,,
microcystin,Sum of Microcystin,Lyngbyatoxin-a,1,,,,,
MERCURY,Mercury,Mercury,1,,,metals              ,,
